id,area,feature,user_story,expected_behavior,source_refs,verify_method,p1_catalog,p2_test_status,p2_evidence,error_found,severity,error_type,p3_fix_status,p3_fix_ref,p4_retest_status,notes
WEB-11,web,Sign in / sign up card (email + password),"As a user, I can sign in or create an account with email and password so that I can reach my dashboard or onboarding.","Tablist toggles flow signIn/signUp (clears error on switch). On submit calls signIn('password', {email,password,flow}); signUp enforces MIN_PASSWORD=8 client-side (inline 'at least 8 characters' hint turns danger; input minLength on signup) and routes to /connect, signIn routes to /dashboard. Submit is disabled while pending or when email/password empty, with 'creating…'/'signing in…' labels. Any thrown error is replaced with a friendly lowercase message (never the raw Convex/InvalidAccountId stack).",web/components/auth/SignInCard.tsx:24-173,Playwright on local dev + dev Convex with a throwaway tenant: sign up a fresh email+pw and assert redirect to /connect; sign in an existing user and assert /dashboard; submit a short password on signup and assert the inline hint + blocked submit; submit bad creds and assert a friendly error containing no 'server error'/'node_modules'/'.ts:'.,done,pass,"Static read SignInCard.tsx:24-173: role=tablist toggles signIn/signUp (switchFlow clears error); handlePassword calls signIn('password',{email,password,flow}); signUp enforces MIN_PASSWORD=8 client-side (returns early with inline message; the 'at least 8 characters' hint turns danger when tooShort; input minLength on signup at 136); routes signUp->/connect, signIn->/dashboard (line 55); submit disabled while pwPending or email/password empty (163) with 'creating…'/'signing in…' labels (165-171); catch{} replaces any thrown error with a friendly lowercase message (60-64), never the raw stack. Tsc+build GREEN.",,none,none,n/a,,n/a,"Checklist omitted that signUp redirects to /connect while signIn redirects to /dashboard (not a single '/connect' redirect) | The redirect split (signUp->/connect, signIn->/dashboard) is INTENTIONAL and documented in-code (lines 53-54): new users connect a channel first, returning users go to the dashboard. Not a bug. Full happy/failure-path Playwright would need a throwaway dev-Convex tenant (the catalog's verify_method), but the behavior is statically correct and the error-masking matches the prior gotcha fix."
WEB-12,web,Google OAuth sign-in,"As a user, I can continue with Google so that I can authenticate without a password.","A 'continue with google' secondary Button (inline Google 'G' SVG, no dep) calls signIn('google', {redirectTo:'/dashboard'}), which navigates the whole page to Google then back. Disabled while pwPending or googlePending; shows 'redirecting…'. On synchronous failure it re-enables and shows a friendly error.",web/components/auth/SignInCard.tsx:70-83;web/components/auth/SignInCard.tsx:182-208,Playwright on local dev: click 'continue with google' and assert the navigation begins toward accounts.google.com with the configured client_id/redirect_uri (do not complete a real Google login); assert button shows 'redirecting…' and is disabled. Static read confirms inline SVG (no external dep).,done,pass,"Static read SignInCard.tsx:70-83 + 182-208: 'continue with google' secondary Button with an inline Google 'G' SVG (GoogleIcon, no external dep); handleGoogle calls signIn('google',{redirectTo:'/dashboard'}); disabled while googlePending||pwPending; shows 'redirecting…' while pending; on synchronous throw it re-enables (setGooglePending(false)) and shows a friendly error. Tsc+build GREEN.",,none,none,n/a,,n/a,Not in the checklist at all — Google OAuth was added 2026-06-22 per the file comment. Email-code (ResendOTP) is intentionally hidden until AUTH_RESEND_KEY lands | Google -> /dashboard is intentional and consistent with signIn (returning-user) redirect; documented at lines 76-77. A live OAuth navigation assertion is out of scope (would hit accounts.google.com); inline-SVG/no-dep and disabled/label states are statically confirmed.
WEB-13,web,Sign-in page layout + metadata,"As a user, I can land on a focused sign-in page so that I authenticate without marketing distractions, and search/social previews show the right title.","Server page sets metadata.title 'sign in or sign up · dhizume', renders a centered max-w-md main (id=main) with decorative grid-lines + aurora backdrops (aria-hidden), a decorative aria-hidden live wordmark, an h1 'sign in or sign up', and the SignInCard.",web/app/signin/page.tsx:4-36,"Playwright on local dev: load /signin, assert document title and a single h1 'sign in or sign up'; assert the SignInCard is present. Or static read.",done,pass,Static read signin/page.tsx:4-36: metadata.title 'sign in or sign up · dhizume'; centered max-w-md main id=main; decorative grid-lines + aurora aria-hidden backdrops; an aria-hidden decorative live wordmark (with ping-ring/pulse-dot); a single h1 'sign in or sign up'; and <SignInCard/>. Web build GREEN (route /signin present).,,none,none,n/a,,n/a,
WEB-14,web,Connect wizard state machine,"As a new user, I can step through tier → channel → pair → done so that I onboard one decision at a time and see when my channel connects.",Client state machine with steps tier/channel/pair/done and StepDots progress indicator. Subscribes to api.app.channels.myChannels; when the chosen channel appears verified it flips to 'done' (no polling). A persistent role=status aria-live=polite region wraps pair+done; on flip to done it focuses the done heading (tabIndex=-1). initialStep prop (from /connect?step=channel) lets onboarded users skip the tier step. Per-step errors render in a role=alert.,web/components/connect/ConnectWizard.tsx:56-301; web/app/connect/page.tsx:9-21,"Playwright on local dev + dev Convex throwaway tenant: drive tier→channel→pair, then simulate the binding via a test seam / mutation and assert the wizard reactively flips to 'done' and moves focus to the heading; assert StepDots advance and ?step=channel starts at the channel step.",done,blocked,"Static read ConnectWizard.tsx:56-301 confirms the state machine (tier/channel/pair/done), StepDots, the myChannels subscription driving the pair->done flip via useEffect (81-87, NO polling), focus-move to the done heading (91-95), initialStep prop (connect/page.tsx passes ?step=channel), and per-step role=alert errors. BUT the reactive-flip e2e (connect-telegram.spec.ts) requires the double-gated testing:testRedeemTelegram wrapper (test.skip when WORKER_SECRET absent) — disabled because ALLOW_TEST_SEED is unset on the live dev deployment; we must not enable it.",,none,none,n/a,,n/a,"blocked: test seam disabled (ALLOW_TEST_SEED/WORKER_SECRET unset on dev:zany-tapir-501). The reactive-subscription invariant is statically sound (useEffect keyed on [step,channel,myChannels], no setInterval) and the StepDots/initialStep wiring is type-checked GREEN; the live flip is exercised by connect-telegram.spec.ts only when the seam is enabled."
WEB-15,web,Tier-selection step (chooseTier),"As a new user, I can pick a plan so that my account is provisioned before I connect a channel.","Renders a Card button per TIERS entry (label, price, quota 'N messages / month', 'popular' badge on highlight). Clicking calls chooseTier({tier}); paid tiers return granted:false with a coming-soon message, which is stashed as tierMessage and surfaced on the channel step, then the wizard advances to 'channel' regardless. Buttons disable while choosing (shows '· setting up…'); failure shows an error.",web/components/connect/ConnectWizard.tsx:97-111;web/components/connect/ConnectWizard.tsx:193-228,Playwright on local dev + dev Convex: choose 'free' and assert advance to channel; choose 'pro' and assert it still advances and the coming-soon tierMessage shows on the channel step (paid not granted).,done,pass,"Static read ConnectWizard.tsx:97-111 + 193-228: a Card button per TIERS entry (label, price 'free' or '$N/mo', quota 'N messages / month', 'popular' badge on highlight); onChooseTier calls chooseTier({tier}); res.granted false -> message stashed as tierMessage and surfaced on the channel step (232-239); advances to 'channel' regardless (105); buttons disable while choosing (199) showing '· setting up…' (222); failure sets a role=alert error. Tsc+build GREEN.",,none,none,n/a,,n/a,"Uses 'N messages / month' (vs marketing TierGrid 'turns / mo' — see WEB-04). Full paid-tier-advance e2e needs a dev-Convex tenant, but the advance-regardless + tierMessage-stash logic is statically correct."
WEB-16,web,Channel choice (imessage/telegram),"As a user, I can choose iMessage or Telegram so that I pair the channel I actually use.","Two equal Card buttons (imessage/telegram) each with aria-label 'connect <title>'. Picking one calls createPairingToken({channel}) in the parent, which mints {token,code,expiresAt,deepLink} and advances to pair. While minting, the picked card shows 'minting your link…' (in a polite sr-only live region and a visible aria-hidden hint) and both buttons disable.",web/components/connect/ChannelChoice.tsx:25-75;web/components/connect/ConnectWizard.tsx:113-131,Playwright on local dev + dev Convex: at the channel step click telegram and assert it mints a token (pairing panel appears) and the cards disabled during minting.,done,pass,"Static read ChannelChoice.tsx:25-75 + ConnectWizard.tsx:113-131: two equal Card buttons (imessage/telegram) each aria-label 'connect <title>'; onPick -> parent onPickChannel calls createPairingToken({channel}) returning {token,code,expiresAt,deepLink} and setStep('pair'); while minting the picked card shows 'minting your link…' in an sr-only polite live region (63-65) and a visible aria-hidden hint (66-68), and both buttons disable (pending!==null -> disabled). Tsc+build GREEN.",,none,none,n/a,,n/a,Token-mint round-trip e2e needs a dev-Convex tenant; the disable/announce wiring is statically correct.
WEB-17,web,Pairing panel (Telegram + iMessage + expiry/renew),"As a user, I can open my channel prefilled or copy the pair code, and refresh an expired link, so that I can complete pairing reliably from any device.","Telegram branch: a Qr plus an <a> 'open telegram' (deepLink, else built from TELEGRAM_BOT_USERNAME, else a manual '/start <token>' instruction) and a 'waiting for you to tap start…' row. iMessage branch: 'open messages' <a> (imessagePairLink) + 'send as sms instead' (smsPairLink) when IMESSAGE_NUMBER is set (else a plain 'text pair <code>' instruction), a copyable 'pair <code>' chip writing to clipboard with copied/failed states (announced + visible alert on failure), and a 'waiting for your message…' row. A footer shows the Countdown + an inline 'new link' renew. When expired it swaps to a 'this link expired' block with a 'get a new link' button calling onRenew.",web/components/connect/PairingPanel.tsx:44-206,Playwright on local dev + dev Convex: at pair step assert the channel-appropriate open link (href starts imessage:// or t.me); click copy and assert 'copied' (grant clipboard); set a short-lived token and assert the expired block + renew re-mints.,done,pass,"Static read PairingPanel.tsx:44-206: telegram branch shows Qr + an <a data-testid=tg-open> (deepLink ?? built from TELEGRAM_BOT_USERNAME ?? a manual '/start <token>' block) and a 'waiting for you to tap start…' WaitingRow; iMessage branch shows 'open messages' <a> (imessagePairLink) + 'send as sms instead' <a> (smsPairLink) when IMESSAGE_NUMBER set, else a plain 'text pair <code>' instruction, a copyable 'pair <code>' chip writing to clipboard with copied/failed states (announced in an sr-only role=status + a visible role=alert on failure), and a 'waiting for your message…' row; a footer with Countdown + inline 'new link' renew; expired state swaps to a 'this link expired' block with a 'get a new link' onRenew button (90-96). Tsc+build GREEN.",,none,none,n/a,,n/a,Channel-appropriate links + expiry/renew fully wired. Clipboard/expired e2e needs a dev tenant + a short-lived token; behavior is statically correct.
WEB-18,web,Client-side QR code,"As a user pairing on another device, I can scan a QR code so that I don't have to type the link, while keeping my pairing credential off third-party servers.",Renders the value to a <canvas> via the qrcode npm package entirely in the browser (no third-party host). Canvas has role=img + an actionable aria-label. On generation failure it shows a fallback panel with the raw value as selectable text; renders nothing when value is empty.,web/components/connect/Qr.tsx:16-69,Playwright on local dev: at the telegram pair step assert a canvas[role=img] with the aria-label; static read confirms encoding is client-side only. Network-tab assertion that no QR value is sent to any external host.,done,pass,Static read Qr.tsx:16-69: encodes value to a <canvas> via the qrcode npm package entirely client-side (QRCode.toCanvas in a useEffect — no network/third-party host); canvas has role='img' + an actionable aria-label; on .catch it shows a fallback panel with the raw value as selectable text (data-testid=qr-fallback); returns null when value is empty (line 40). Tsc+build GREEN.,,none,none,n/a,,n/a,Client-side-only encoding confirmed by code (no fetch); a network-tab assertion is unnecessary given the import is the qrcode lib used in-browser.
WEB-19,web,Pairing countdown with SR thresholds,"As a user, I can see how long my pairing link is valid and hear coarse time milestones so that I act before it expires without screen-reader spam.",Display-only clock ticks once/sec via setInterval (not data polling). Visible label 'expires in <m s>' (aria-hidden) turns danger / 'link expired' at/after expiry. A polite sr-only region announces only at thresholds 60s/30s/10s (each once) and on expiry; threshold tracking resets when expiresAt changes.,web/components/connect/Countdown.tsx:13-80;web/lib/utils.ts:7-14,Static read + Playwright on local dev: mint a token with a near expiry and assert the visible countdown decrements and flips to 'link expired'; assert the sr-only region only updates at thresholds (not every second).,done,pass,"Static read Countdown.tsx:13-80 + lib/utils.ts:7-14: display-only clock ticks once/sec via setInterval (re-renders the label, NOT data polling — comment line 10-12); visible 'expires in <m s>' label is aria-hidden (71-77) and turns danger / 'link expired' at/after expiry; a polite sr-only region announces only at 60s/30s/10s thresholds (ANNOUNCE_THRESHOLDS_MS, each once via announcedRef) and on expiry (37-41); threshold tracking + prevExpired reset when expiresAt changes (21-26). Tsc+build GREEN.",,none,none,n/a,,n/a,
WEB-20,web,Pick-a-different-channel + back nav,"As a user mid-pairing, I can go back to pick a different channel or return to the dashboard so that I'm never stuck.","On the pair step a '← pick a different channel' button calls startOver (clears channel/minted/error, returns to 'channel'). The wizard header has a '← back' Link to /dashboard. The done step offers a 'go to dashboard' Button.",web/components/connect/ConnectWizard.tsx:152-157;web/components/connect/ConnectWizard.tsx:176-185;web/components/connect/ConnectWizard.tsx:264-296,Playwright on local dev: at the pair step click 'pick a different channel' and assert return to channel step; assert the header back link and done 'go to dashboard' both target /dashboard.,done,pass,Static read ConnectWizard.tsx:152-157 (startOver clears channel/minted/error -> setStep('channel')) wired to the pair-step '← pick a different channel' button (264-271); the header '← back' Link -> /dashboard (176-181); the done step 'go to dashboard' Button Link -> /dashboard (291-295). Tsc+build GREEN.,,none,none,n/a,,n/a,
WEB-21,web,"Dashboard shell (auth-gated, skeleton)","As a signed-in user, I can open a dashboard that shows my plan, usage, and channels so that I can manage my assistant.","Client shell with a TopBar; an AuthLoading state shows a polite 'loading dashboard…' region + an aria-hidden three-card skeleton; the Authenticated state renders an sr-only h1, a 'dashboard loaded' polite region, and a responsive 1→2→3 column grid of TierCard, UsagePanel, ConnectionsPanel. The page itself is protected by middleware. Server page just renders the shell.",web/components/dashboard/DashboardShell.tsx:10-43;web/app/dashboard/page.tsx:5-7,Playwright on local dev + dev Convex: visit /dashboard while signed in and assert the three panels render and exactly one h1; verify the skeleton/loading region appears during auth resolution.,done,blocked,"Static read DashboardShell.tsx:10-43 + dashboard/page.tsx:5-7: TopBar; AuthLoading shows an sr-only polite 'loading dashboard…' region + an aria-hidden 3-card skeleton; Authenticated renders an sr-only h1 'dashboard', a 'dashboard loaded' polite region, and a 1->2->3 col grid of TierCard/UsagePanel/ConnectionsPanel; server page just renders the shell. auth-gate.spec.ts:9 (/dashboard -> /signin) PASSED (middleware protection confirmed). BUT asserting the three panels render with live data while signed in needs a dev-Convex authenticated tenant (the testing:* seam is disabled).",,none,none,n/a,,n/a,"blocked: signed-in panel-render verification needs the disabled seed seam (ALLOW_TEST_SEED unset). The shell structure (single h1, AuthLoading skeleton, Authenticated grid) is statically correct and tsc/build GREEN; route protection covered by auth-gate.spec.ts."
WEB-22,web,TopBar + user email,"As a signed-in user, I can see my account identity in the top bar so that I know which account I'm in.","TopBar shows the 'dhizume / dashboard' brand and, only while Authenticated, a UserEmail that queries api.app.account.currentUser: shows a pulse skeleton while undefined, then email ?? displayName ?? name (truncated, sm+), or nothing if no label. Mounting only under Authenticated avoids firing the gated query unauthenticated during sign-out.",web/components/dashboard/DashboardShell.tsx:45-91,Playwright on local dev + dev Convex: sign in with a known email and assert it appears in the top bar; sign out and assert no uncaught 'unauthenticated' error fires.,done,blocked,"Static read DashboardShell.tsx:45-91: TopBar shows the 'dhizume / dashboard' brand and, only inside <Authenticated>, <UserEmail/> which queries api.app.account.currentUser — pulse skeleton while undefined, then email ?? displayName ?? name (truncated, sm+), or null if no label; mounting UserEmail only under Authenticated avoids firing the gated query unauthenticated during sign-out (comment 59-61). BUT asserting the email renders for a known signed-in user needs a dev-Convex authenticated tenant.",,none,none,n/a,,n/a,blocked: needs an authenticated dev-Convex session (seam disabled). The Authenticated-gated mount that prevents the uncaught 'unauthenticated' error on sign-out is statically correct and matches the documented design.
WEB-23,web,Tier card + upgrade/checkout,"As a signed-in user, I can see my current plan and start an upgrade so that I can increase my headroom.","Reads currentUser + myUsage; current tier = usage.tier ?? user.tier ?? 'free'. Operators get a 'max · unlimited' badge and an 'everything's unlocked' note (no upgrade buttons). Others get upgrade Buttons only for tiers strictly above current (higherTiers). Clicking calls startCheckout({tier}); if it returns an http checkoutUrl it redirects, otherwise (stub v1) it shows a coming-soon banner; failure shows a retry banner. Buttons disable while a checkout is pending ('starting…').",web/components/dashboard/TierCard.tsx:28-154,Playwright on local dev + dev Convex: as a free user assert 'upgrade to pro/max' buttons; click and assert the coming-soon banner (stub returns no http url); as an operator assert the unlimited badge and no upgrade buttons.,done,blocked,"Static read TierCard.tsx:28-154: reads currentUser+myUsage; currentTier = usage.tier ?? user.tier ?? 'free'; operators get a 'max · unlimited' badge + 'everything's unlocked' note and NO upgrade buttons (87-90); others get upgrade Buttons only for higherTiers (strictly above current, 21-26); onUpgrade calls startCheckout({tier}) -> redirect if checkoutUrl startsWith 'http' else show a coming-soon banner (57-61); failure shows a retry banner (62); buttons disable while pending ('starting…', 144). BUT operator-vs-free and the checkout-stub banner need a dev-Convex authenticated tenant.",,none,none,n/a,,n/a,"blocked: needs an authenticated dev-Convex session (seam disabled). The higherTiers/operator/stub-banner logic is statically correct and tsc/build GREEN. Uses 'messages / month' in the subtitle (consistent with the wizard/dashboard, vs marketing 'turns' — WEB-04)."
